iter	Accuracy	Logloss
0	0.995028416	0.6002144371
1	0.995028416	0.5239867411
2	0.995028416	0.4605521844
3	0.995028416	0.40700659
4	0.995028416	0.3611505271
5	0.995028416	0.3218417081
6	0.995028416	0.2877486765
7	0.995028416	0.258062819
8	0.995028416	0.2321220817
9	0.995028416	0.2093479587
10	0.995028416	0.1892864072
11	0.995028416	0.1714822999
12	0.995028416	0.1557684388
13	0.995028416	0.1418220074
14	0.995028416	0.1294637892
15	0.995028416	0.1184663139
16	0.995028416	0.108452274
17	0.995028416	0.09962311535
18	0.995028416	0.09173979724
19	0.995028416	0.08440849499
20	0.995028416	0.07798967839
21	0.995028416	0.0724305502
22	0.995028416	0.06739434801
23	0.995028416	0.06287241787
24	0.995028416	0.05880246901
25	0.995028416	0.0549456046
26	0.995028416	0.05178525147
27	0.995028416	0.04886819437
28	0.995028416	0.04616412964
29	0.995028416	0.04351390067
30	0.995028416	0.04130010536
31	0.995028416	0.03925114837
32	0.995028416	0.03749968997
33	0.995028416	0.0358732404
34	0.995028416	0.03438562606
35	0.995028416	0.03311282998
36	0.995028416	0.03193785509
37	0.995028416	0.03088619384
38	0.995506078	0.02994608162
39	0.9954865816	0.0291658395
40	0.9954280924	0.02836674986
41	0.9956425529	0.02765195259
42	0.9956425529	0.02692589449
43	0.9956425529	0.02631214775
44	0.9956425529	0.02579901879
45	0.9956425529	0.02533906669
46	0.9956425529	0.02488787803
47	0.9956425529	0.02457963253
48	0.9956425529	0.02431705653
49	0.9956425529	0.02403853901
50	0.9956425529	0.02385768941
51	0.9956425529	0.02361112071
52	0.9956425529	0.02339112931
53	0.9956425529	0.0231878362
54	0.9956328047	0.02307535367
55	0.9956328047	0.02291241319
56	0.9956425529	0.02279508468
57	0.9956425529	0.02263292763
58	0.9956328047	0.02255316921
59	0.9956328047	0.02242602197
60	0.9956328047	0.02231449916
61	0.9956425529	0.02220389472
62	0.9956425529	0.02215979257
63	0.9956425529	0.02208239504
64	0.9956425529	0.02199508798
65	0.9956425529	0.02192314936
66	0.9956425529	0.02187257332
67	0.9956425529	0.02183145862
68	0.9956425529	0.02178214353
69	0.9956425529	0.02175445104
70	0.9956425529	0.02168427426
71	0.9956425529	0.02164906471
72	0.9956425529	0.021605182
73	0.9956425529	0.02156903002
74	0.9956425529	0.02153995799
75	0.9956425529	0.02145524105
76	0.9956425529	0.02142388915
77	0.9956425529	0.02140655561
78	0.9956425529	0.02138573289
79	0.9956425529	0.02127161926
80	0.9956425529	0.02125308421
81	0.9956425529	0.02121929458
82	0.9956425529	0.02109391974
83	0.9956425529	0.02108039867
84	0.9956425529	0.02098494577
85	0.9956425529	0.02096289277
86	0.9956425529	0.02094269722
87	0.9956425529	0.0209274269
88	0.9956425529	0.02090804091
89	0.9956425529	0.02089646137
90	0.9956425529	0.02080518801
91	0.9956425529	0.02069921672
92	0.9956425529	0.02067575682
93	0.9956425529	0.02066342553
94	0.9956425529	0.02058319306
95	0.9956425529	0.020570069
96	0.9956425529	0.02055317113
97	0.9956425529	0.02049539723
98	0.9956425529	0.02047650909
99	0.9956523011	0.02042196244
